"","pos","name","date","time","map"
"21351","1","n00k!e","11/05/13","60.371","bja2"
"21352","1","prd","17/01/17","9.533","bjump"
"21354","1","Casper","22/01/16","18.394","bjump1"
"21356","1","yogurt","07/11/16","26.076","bjump2"
"21358","1","KroPP","26/11/14","62.164","bkjump1"
"21359","1","}}Wetarded{{","10/05/13","74.481","bkjump10"
"21360","1","KroPP","15/10/13","206.363","bkjump11"
"21361","1","nowicjusz","20/03/13","46.593","bkjump2"
"21363","1","APKIS","15/01/15","33.901","bkjump3"
"21364","1","_PLAY_","18/02/16","5.756","bkjump4"
"21366","1","KroPP","07/05/14","18.820","bkjump5"
"21367","1","prd","27/11/15","5.953","bkjump6"
"21369","1","Lofas","25/07/13","5.998","bkjump7"
"21371","1","mule_0wnz","05/12/15","5.797","bkjump8"
"21373","1","KroPP","23/01/15","167.920","bkjump9"
"21374","1","Stoner","26/12/15","17.680","blastjump"
"21376","1","Lofas","07/01/17","8.909","blastjump1"
"21378","1","ace","08/02/16","59.786","blastjump2"
"21379","1","KroPP","22/08/15","39.506","bleh1"
"21381","1","n00k!e","14/03/14","30.813","bleh2"
"21383","1","KroPP","31/03/15","63.174","bleh3"
"21384","1","KroPP","15/02/16","18.820","bleh4"
"21386","1","KroPP","15/10/13","59.040","bleh5"
"21387","1","prd","12/09/16","3.622","bljp"
"21389","1","ds.ads","10/10/12","24.149","bloodjumps"
"21391","1","Lofas","19/07/14","11.994","bloodjumps2"
"21393","1","APKIS","24/07/15","11.886","bloodjumps3"
"21395","1","KroPP","04/10/15","55.356","bloodjumps4"
"21396","1","KroPP","05/06/14","21.259","bloodjumps5"
"21398","1","n00k!e","02/10/15","34.789","bluehardjumps1"
"21399","1","n00k!e","23/10/14","19.859","bluehardjumps2"
"21401","1","APKIS","10/08/15","21.177","bluehardjumps3"
"21403","1","Lofas","14/03/14","28.495","bluehardjumps4"
"21404","1","Killa","02/01/13","10.532","bluejumps1"
"21406","1","KroPP","22/10/14","16.864","bluejumps2"
"21407","1","yogurt","06/08/16","10.688","bodyjumps"
"21409","1","n00k!e","21/07/14","37.866","br_jumping"
"21411","1","ds.ads","24/01/13","12.600","bridgejump"
"21413","1","n00k!e","08/10/15","17.909","brudny1o1"
"21415","1","n00k!e","23/10/14","105.194","brunixone_b9"
"21416","1","KroPP","15/08/13","36.921","bubjump1"
"21417","1","KroPP","17/03/15","40.722","bubjump2"
"21418","1","yogurt","30/03/14","4.825","bubrun"
"21420","1","santher","28/09/12","27.512","bubspeed1"
"21422","1","Lofas","12/10/15","4.907","burn"
"21424","1","Lofas","06/03/14","23.766","bustajump"
"21425","1","n00k!e","09/11/14","14.676","bw"
"21426","1","n00k!e","28/04/14","74.382","bw2"
"21427","1","Lofas","04/05/14","58.000","bw3"
"21428","1","prd","08/11/15","51.388","bw3easy"
"21429","1","Lofas","07/05/14","60.434","bw4"
"21430","1","KroPP","15/10/15","15.733","byxjumpin1"
"21432","1","APKIS","27/07/15","30.531","byxjumpin2"
"21434","1","KroPP","03/11/14","28.663","c1"
"21435","1","Lofas","19/04/15","31.800","c1articwarehouse"
"21436","1","KroPP","26/02/13","27.388","c1jumps1"
"21438","1","Lofas","15/06/13","11.715","c1jumps10"
"21440","1","UniBG","01/11/12","8.864","c1jumps11a"
"21442","1","KroPP","01/12/12","22.865","c1jumps12"
"21443","1","APKIS","10/08/15","13.015","c1jumps13"
"21444","1","Castro","23/01/16","18.666","c1jumps14"
"21445","1","KroPP","25/08/13","36.401","c1jumps15"
"21446","1","Lofas","12/02/15","9.335","c1jumps16"
"21447","1","KroPP","23/11/14","17.778","c1jumps17"
"21448","1","n00k!e","21/12/15","26.981","c1jumps18"
"21449","1","KroPP","03/03/14","25.088","c1jumps19"
"21450","1","prd","06/02/16","8.321","c1jumps2"
"21452","1","KroPP","12/01/15","29.999","c1jumps20"
"21453","1","Lofas","13/07/13","10.967","c1jumps21"
"21455","1","Lofas","17/05/15","26.710","c1jumps22"
"21456","1","KroPP","11/01/15","28.341","c1jumps23"
"21457","1","KroPP","11/01/15","20.548","c1jumps24"
"21459","1","KroPP","10/05/14","15.783","c1jumps25"
"21460","1","Lofas","07/04/15","12.074","c1jumps26"
"21462","1","n00k!e","19/05/14","15.268","c1jumps3"
"21464","1","Lofas","02/08/13","9.688","c1jumps4"
"21466","1","KroPP","16/05/13","25.214","c1jumps5"
"21468","1","GreenJumper","09/08/14","7.168","c1jumps6"
